"track_id";"track_popularity";"track_album_release_date";"playlist_name";"playlist_genre";"playlist_subgenre";"danceability";"energy";"key";"loudness";"mode";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"duration_ms";"duration_seconds";"duration_minutes";"popularity_category";"release_date_age";"danceability_cat";"track_name";"track_artist";"row_num";"energy_category";"acoustic_category";"liveness_category"
"008MceT31RotUANsKuzy3L";24;"2015-08-07";"Electropop - Pop";"pop";"electropop";0.659;0.794;10;-5.644;0;0.054;0.000761;0.132;0.322;0.852;128.041;228565;229;3.816666666;"Trash";"old";"semi-danceable";"Liquid Blue";"The.madpix.project";1;"medium fast";"not confident";"semi confident"
"008rk8F6ZxspZT4bUlkIQG";38;"2018-11-16";"Best of 2019 Dance Pop: Japan";"pop";"dance pop";0.662;0.838;1;-6.3;1;0.0499;0.114;0.000697;0.0881;0.496;129.884;236308;236;3.933333333;"Meh";"young";"semi-danceable";"Fever";"YOSA & TAAR";1;"medium fast";"slightly confident";"not confident"
"00bc7A2CLjp40XNd6ZPZNa";21;"2020-01-15";"Dance Pop: Japan";"pop";"dance pop";0.763;0.763;10;-4.176;0;0.0626;0.0298;1.9e-05;0.652;0.953;143.994;211547;212;3.533333333;"Trash";"young";"highly_danceable";"JAM fo'freedom (SASUKE Remix)";"RUN THE FLOOR";1;"medium fast";"not confident";"confident"
"00emjlCv9azBN0fzuuyLqy";65;"2019-09-22";"K-Party Dance Mix";"pop";"dance pop";0.76;0.887;9;-1.993;1;0.0409;0.037;0.0;0.138;0.24;130.018;193160;193;3.216666666;"Alright!";"young";"highly_danceable";"Dumb Litty";"KARD";1;"medium fast";"not confident";"slightly confident"
"00lNx0OcTJrS3MKHcB80HY";14;"2016-12-09";"BALLARE - رقص";"pop";"post-teen pop";0.876;0.669;11;-6.054;0;0.138;0.163;0.0;0.185;0.682;124.007;213947;214;3.566666666;"Trash";"young";"highly_danceable";"You Don't Know Me - Radio Edit";"Jax Jones";1;"medium slow";"slightly confident";"slightly confident"
"00OKDIsSQbx8rd5Al7fKNw";33;"2014-08-12";"🤩🤪Post Teen Pop🤪🤩";"pop";"post-teen pop";0.414;0.806;7;-2.892;1;0.0665;0.00792;9.33e-05;0.0488;0.77;96.044;208827;209;3.483333333;"Meh";"old";"semi-danceable";"Stand Out - From ""How to Build a Better Boy""""""";"Sabrina Carpenter";1;"medium fast";"not confident";"not confident"
"00qOE7OjRl0BpYiCiweZB2";67;"1981-01-01";"Dr. Q's Prescription Playlist💊";"pop";"post-teen pop";0.357;0.653;9;-5.554;1;0.0654;0.0828;0.0;0.0844;0.522;176.647;259800;260;4.333333333;"Alright!";"old";"couch-worthy";"Juke Box Hero";"Foreigner";1;"medium slow";"not confident";"not confident"
"00Z0GIRi0l7WqQnQJCo5S2";75;"2019-11-23";"The Sound of Post-Teen Pop";"pop";"post-teen pop";0.362;0.708;10;-4.046;1;0.0672;0.0226;0.0;0.0873;0.513;166.31;196160;196;3.266666666;"Alright!";"young";"couch-worthy";"Don't Let It Break Your Heart - Single Edit";"Louis Tomlinson";1;"medium slow";"not confident";"not confident"
"01iyINEYgPQ7ThMZuHUsqS";58;"2017-10-13";"Dance Pop";"pop";"dance pop";0.619;0.938;5;-5.245;1;0.35;0.0257;1.39e-05;0.128;0.601;94.38;207428;207;3.45;"Alright!";"young";"semi-danceable";"First Love";"Lost Kings";1;"fast";"not confident";"slightly confident"
"02itaCXOdC54J0ISjqqFAp";80;"2019-04-05";"Dance Room";"pop";"dance pop";0.733;0.859;9;-5.03;0;0.033;0.479;0.0645;0.105;0.52;124.948;147840;148;2.466666666;"Banger";"young";"highly_danceable";"All Around The World (La La La)";"R3HAB";1;"medium fast";"confident";"slightly confident"
"02jcEwywffn3Tsb48fXmlW";66;"2001-01-01";"post-teen pop";"pop";"post-teen pop";0.802;0.904;11;-3.267;0;0.0459;0.00108;0.0;0.173;0.961;128.931;192533;193;3.216666666;"Alright!";"old";"highly_danceable";"Get the Party Started";"P!nk";1;"fast";"not confident";"slightly confident"
"02M6vucOvmRfMxTXDUwRXu";71;"2014-11-24";"ELECTROPOP";"pop";"electropop";0.747;0.705;9;-5.137;0;0.126;0.0128;0.0;0.126;0.56;136.024;213507;214;3.566666666;"Alright!";"old";"highly_danceable";"11-Jul";"Beyonc�";1;"medium slow";"not confident";"slightly confident"
"02pf9lLM8Nb8l4u4ts1GWb";69;"2014-01-01";"post teen pop";"pop";"post-teen pop";0.673;0.464;10;-6.864;0;0.201;0.0933;0.0;0.21;0.762;171.043;235600;236;3.933333333;"Alright!";"old";"semi-danceable";"My Nigga";"YG";1;"slow";"not confident";"confident"
"02Qo5DFgoGTiBGo4ZUvjXm";36;"2018-08-17";"Post Teen Pop";"pop";"post-teen pop";0.654;0.312;4;-10.212;1;0.0508;0.429;8.59e-06;0.19;0.304;119.9;73813;74;1.233333333;"Meh";"young";"semi-danceable";"pete davidson";"Ariana Grande";1;"slow";"confident";"slightly confident"
"02XnQdf7sipaKBBHixz3Zp";69;"2008-01-01";"BALLARE - رقص";"pop";"post-teen pop";0.762;0.692;5;-3.973;0;0.0438;0.113;0.0;0.094;0.397;114.906;208307;208;3.466666666;"Alright!";"old";"highly_danceable";"Paparazzi";"Lady Gaga";1;"medium slow";"slightly confident";"not confident"
"035IYcHuQxZHBknOMWGAnI";41;"2019-06-21";"Dance Pop Tunes";"pop";"dance pop";0.714;0.454;9;-9.122;0;0.245;0.589;0.0;0.113;0.699;98.06;191200;191;3.183333333;"Meh";"young";"highly_danceable";"Let Me Love You";"Campsite Dream";1;"slow";"confident";"slightly confident"
"036GQb6SETOJJG8BxJTNxc";51;"2013-07-26";"Post pop teen";"pop";"post-teen pop";0.71;0.925;0;-3.329;1;0.0359;0.039;0.0;0.127;0.93;118.024;222987;223;3.716666666;"Alright!";"old";"highly_danceable";"Chloe (You're the One I Want)";"Emblem3";1;"fast";"not confident";"slightly confident"
"03ShCBJrWXSp3vogMeCIxz";54;"2019-04-26";"Pop Dance Hits";"pop";"dance pop";0.768;0.676;11;-6.252;1;0.138;0.174;0.00021;0.152;0.61;109.96;173340;173;2.883333333;"Alright!";"young";"highly_danceable";"Switch";"Afrojack";1;"medium slow";"slightly confident";"slightly confident"
"03teNQu8rWlFnNzF1ULXIq";55;"2010-01-01";"post teen pop";"pop";"post-teen pop";0.555;0.8;0;-4.835;1;0.0776;0.0353;0.0;0.0783;0.801;174.007;175027;175;2.916666666;"Alright!";"old";"semi-danceable";"Starstruck";"Christopher Wilde";1;"medium fast";"not confident";"not confident"
"03yWftlC0np4NshtX9RAUy";55;"2016-05-20";"🤩🤪Post Teen Pop🤪🤩";"pop";"post-teen pop";0.766;0.576;6;-5.614;1;0.0426;0.00404;0.000138;0.0794;0.744;122.975;187960;188;3.133333333;"Alright!";"young";"highly_danceable";"Wildside - From ""Adventures in Babysitting""""""";"Sabrina Carpenter";1;"slow";"not confident";"not confident"
"04aAxqtGp5pv12UXAg4pkq";79;"2015-01-20";"Dr. Q's Prescription Playlist💊";"pop";"post-teen pop";0.394;0.858;4;-2.868;0;0.0729;0.00359;0.0;0.102;0.56;176.044;228360;228;3.8;"Banger";"old";"couch-worthy";"Centuries";"Fall Out Boy";1;"medium fast";"not confident";"slightly confident"
"04BZvpVvpJKPWXVfnWr6a3";33;"2018-08-24";"Christian Dance Party";"pop";"dance pop";0.48;0.962;11;-3.86;1;0.183;0.00593;3.44e-06;0.423;0.658;100.037;142723;143;2.383333333;"Meh";"young";"semi-danceable";"Grateful (Neon Feather Remix)";"Cade Thompson";1;"fast";"not confident";"confident"
"04ZTP5KsCypmtCmQg5tH9R";80;"2018-06-22";"The Sound of Post-Teen Pop";"pop";"post-teen pop";0.63;0.694;11;-6.257;0;0.0253;0.00281;0.0;0.0719;0.216;97.005;195519;196;3.266666666;"Banger";"young";"semi-danceable";"I'm a Mess";"Bebe Rexha";1;"medium slow";"not confident";"not confident"
"05bXOQTUxou0BaZ6XteJo0";6;"2017-06-23";"BALLARE - رقص";"pop";"post-teen pop";0.929;0.794;9;-4.245;0;0.122;0.51;0.0;0.129;0.816;120.002;202893;203;3.383333333;"Trash";"young";"highly_danceable";"Krantenwijk";"Lil Kleine";1;"medium fast";"confident";"slightly confident"
"05CwHjIk71RXVU40boRMnR";39;"2019-05-31";"Dance Pop";"pop";"dance pop";0.591;0.702;7;-5.59;1;0.0289;0.225;0.0;0.414;0.501;104.003;217653;218;3.633333333;"Meh";"young";"semi-danceable";"Call You Mine";"The Chainsmokers";1;"medium slow";"semi confident";"confident"
"05mAIVLkIWc2d1UBYZBCp8";71;"2018-10-05";"Electropop 2019";"pop";"electropop";0.739;0.742;7;-4.586;1;0.0329;0.0227;1.39e-06;0.229;0.659;124.016;189000;189;3.15;"Alright!";"young";"highly_danceable";"1999";"Charli XCX";1;"medium slow";"not confident";"confident"
